frame_count,frame_index,detection_count
1,1,0
2,13,0
3,25,0
4,37,0
5,49,0
6,61,0
7,73,0
8,85,0
9,97,0
10,109,0
11,121,0
12,133,0
13,145,0
14,157,0
15,169,0
16,181,0
17,193,0
18,205,0
19,217,0
20,229,0
21,241,5
22,253,6
23,265,7
24,277,7
25,289,7
26,301,9
27,313,5
28,325,8
29,337,5
30,349,6
31,361,4
32,373,4
33,385,4
34,397,6
35,409,3
36,421,4
37,433,4
38,445,4
39,457,4
40,469,2
41,481,2
42,493,3
43,505,3
44,517,3
45,529,4
46,541,4
47,553,4
48,565,5
49,577,5
50,589,4
51,601,3
52,613,3
53,625,5
54,637,3
55,649,3
56,661,3
57,673,3
58,685,3
59,697,0
60,709,2
61,721,2
62,733,3
63,745,3
64,757,2
65,769,3
66,781,2
67,793,3
68,805,4
69,817,3
70,829,3
71,841,2
72,853,2
73,865,2
74,877,3
75,889,2
76,901,3
77,913,3
78,925,2
79,937,1
80,949,4
81,961,1
82,973,2
83,985,2
84,997,4
85,1009,4
86,1021,3
87,1033,3
88,1045,3
89,1057,2
90,1069,4
91,1081,3
92,1093,2
93,1105,2
94,1117,4
95,1129,4
96,1141,2
97,1153,3
98,1165,6
99,1177,4
100,1189,3
101,1201,2
102,1213,2
103,1225,4
104,1237,4
105,1249,5
106,1261,2
107,1273,4
108,1285,3
109,1297,3
110,1309,3
111,1321,4
112,1333,4
113,1345,6
114,1357,5
115,1369,4
116,1381,5
117,1393,4
118,1405,4
119,1417,4
120,1429,4
121,1441,4
122,1453,4
123,1465,4
124,1477,5
125,1489,7
126,1501,6
127,1513,5
128,1525,6
129,1537,3
130,1549,2
131,1561,1
132,1573,3
133,1585,3
134,1597,3
135,1609,4
136,1621,4
137,1633,3
138,1645,3
139,1657,4
140,1669,3
141,1681,6
142,1693,6
143,1705,5
144,1717,6
145,1729,5
146,1741,5
147,1753,4
148,1765,4
149,1777,4
150,1789,3
151,1801,4
152,1813,4
153,1825,3
154,1837,3
155,1849,4
156,1861,4
157,1873,3
158,1885,2
159,1897,2
160,1909,4
161,1921,4
162,1933,4
163,1945,2
164,1957,4
165,1969,4
166,1981,4
167,1993,4
168,2005,5
169,2017,3
170,2029,3
171,2041,3
172,2053,4
173,2065,2
174,2077,4
175,2089,4
176,2101,3
177,2113,3
178,2125,3
179,2137,4
180,2149,4
181,2161,3
182,2173,2
183,2185,4
184,2197,6
185,2209,6
186,2221,7
187,2233,6
188,2245,7
189,2257,6
190,2269,5
191,2281,5
192,2293,5
193,2305,6
194,2317,5
195,2329,9
196,2341,6
197,2353,6
198,2365,7
199,2377,7
200,2389,7
201,2401,6
202,2413,6
203,2425,6
204,2437,7
205,2449,6
206,2461,5
207,2473,7
208,2485,6
209,2497,5
210,2509,7
211,2521,6
212,2533,8
213,2545,5
214,2557,5
215,2569,6
216,2581,6
217,2593,6
218,2605,6
219,2617,6
220,2629,8
221,2641,7
222,2653,6
223,2665,5
224,2677,5
225,2689,9
226,2701,9
227,2713,8
228,2725,6
229,2737,9
230,2749,9
231,2761,12
232,2773,10
233,2785,11
234,2797,11
235,2809,8
236,2821,8
237,2833,9
238,2845,9
239,2857,10
240,2869,12
241,2881,9
